iter	Passed	Remaining
0	33	33696
1	56	28192
2	77	25776
3	98	24543
4	120	23899
5	140	23321
6	162	23055
7	183	22768
8	204	22570
9	228	22586
10	281	25335
11	304	25035
12	332	25259
13	355	25009
14	380	24963
15	401	24719
16	424	24561
17	445	24305
18	467	24124
19	488	23936
20	510	23784
21	530	23598
22	552	23490
23	573	23336
24	595	23208
25	615	23069
26	636	22939
27	657	22837
28	681	22807
29	702	22704
30	723	22607
31	746	22583
32	767	22492
33	790	22463
34	813	22439
35	836	22406
36	859	22382
37	882	22353
38	907	22357
39	930	22325
40	959	22433
41	982	22407
42	1005	22381
43	1029	22363
44	1052	22329
45	1073	22262
46	1094	22198
47	1116	22141
48	1136	22051
49	1158	22013
50	1180	21958
51	1202	21927
52	1224	21884
53	1245	21820
54	1266	21756
55	1287	21701
56	1308	21654
57	1328	21580
58	1348	21505
59	1369	21453
60	1390	21407
61	1410	21343
62	1431	21297
63	1451	21229
64	1471	21169
65	1492	21127
66	1513	21080
67	1534	21032
68	1554	20977
69	1575	20930
70	1598	20920
71	1618	20865
72	1639	20819
73	1659	20767
74	1681	20736
75	1704	20725
76	1725	20687
77	1746	20643
78	1768	20615
79	1788	20572
80	1812	20567
81	1834	20540
82	1856	20508
83	1880	20509
84	1903	20487
85	1927	20480
86	1949	20462
87	1971	20432
88	1995	20426
89	2018	20411
90	2041	20392
91	2061	20347
92	2082	20310
93	2102	20262
94	2124	20234
95	2180	20529
96	2198	20469
97	2225	20481
98	2248	20464
99	2272	20452
100	2293	20415
101	2314	20372
102	2334	20333
103	2356	20300
104	2376	20260
105	2396	20214
106	2418	20180
107	2437	20133
108	2459	20106
109	2481	20075
110	2502	20044
111	2522	19998
112	2543	19963
113	2567	19950
114	2588	19918
115	2609	19882
116	2628	19838
117	2649	19806
118	2671	19779
119	2692	19742
120	2711	19699
121	2732	19662
122	2753	19633
123	2776	19613
124	2797	19581
125	2819	19554
126	2839	19518
127	2858	19476
128	2879	19444
129	2898	19400
130	2919	19366
131	2940	19337
132	2960	19297
133	2979	19257
134	3001	19234
135	3023	19205
136	3042	19167
137	3062	19132
138	3079	19074
139	3099	19036
140	3120	19008
141	3141	18979
142	3162	18955
143	3183	18923
144	3205	18901
145	3225	18869
146	3247	18841
147	3267	18812
148	3288	18783
149	3309	18755
150	3330	18724
151	3351	18700
152	3371	18665
153	3392	18636
154	3414	18614
155	3436	18591
156	3456	18561
157	3478	18534
158	3497	18499
159	3519	18475
160	3539	18446
161	3560	18418
162	3581	18390
163	3603	18366
164	3624	18344
165	3645	18313
166	3665	18285
167	3687	18263
168	3709	18238
169	3731	18218
170	3752	18193
171	3773	18164
172	3793	18135
173	3814	18107
174	3834	18078
175	3855	18049
176	3875	18020
177	3897	17999
178	3918	17973
179	3931	17908
180	3952	17886
181	3972	17856
182	3993	17828
183	4014	17802
184	4045	17822
185	4067	17801
186	4094	17801
187	4114	17771
188	4140	17768
189	4162	17746
190	4185	17726
191	4205	17697
192	4226	17672
193	4249	17655
194	4270	17629
195	4291	17602
196	4312	17576
197	4333	17551
198	4354	17526
199	4375	17500
200	4394	17470
201	4414	17441
202	4434	17412
203	4456	17387
204	4476	17358
205	4496	17331
206	4517	17306
207	4538	17281
208	4558	17253
209	4579	17226
210	4599	17198
211	4620	17172
212	4640	17144
213	4660	17118
214	4682	17095
215	4704	17076
216	4724	17046
217	4746	17026
218	4765	16995
219	4785	16967
220	4805	16938
221	4826	16913
222	4846	16887
223	4867	16861
224	4890	16845
225	4910	16818
226	4931	16793
227	4951	16765
228	4972	16740
229	4994	16721
230	5014	16693
231	5035	16669
232	5055	16643
233	5076	16617
234	5096	16592
235	5117	16566
